id,Address,Response_X,Response_Y
1,"嘉義縣中埔鄉中崙村4鄰26號, 23.374477, 120.56223790000001",,
2,"嘉義縣中埔鄉東興村7鄰八寶寮6號, 23.3481899, 120.53895920000002",,
3,"嘉義縣中埔鄉東興村3鄰13號, 23.3526295, 120.54517970000006",,
4,"嘉義縣中埔鄉中埔村128號, 23.4222641, 120.52647030000003",,
5,"嘉義縣中埔鄉灣潭村7鄰凍腳4號, 23.4201728, 120.57971279999992",,
6,"嘉義縣中埔鄉中崙村6鄰中崙嶺6號, 23.3691037, 120.5682028",,
7,"嘉義縣中埔鄉中崙村7鄰40號, 23.374477, 120.56223790000001",,
8,"嘉義縣中埔鄉中崙村8鄰石壁頭1號, 23.373895, 120.56241699999998",,
9,"嘉義縣中埔鄉中崙村9鄰石壁頭8號, 23.3730025, 120.56331439999997",,
10,"嘉義縣中埔鄉石?村1鄰永富4號, 23.3835919, 120.59322259999999",,
11,"嘉義縣中埔鄉石?村4鄰石仔湖31號, 23.4012336, 120.5682028",,
12,"嘉義縣中埔鄉石?村6鄰藤寮仔54號, 23.4012336, 120.5682028",,
13,"嘉義縣中埔鄉東興村5鄰凍仔頂25號, 23.3572646, 120.53945509999994",,
14,"嘉義縣竹崎鄉光華村5鄰27-1號, 23.4777083, 120.66025339999999",,
15,"嘉義縣竹崎鄉金獅村8鄰16號, 23.5152406, 120.62286589999997",,
16,"嘉義縣竹崎鄉金獅村4鄰42號, 23.5152406, 120.62286589999997",,
17,"嘉義縣竹崎鄉金獅村7鄰17號, 23.5152406, 120.62286589999997",,
18,"嘉義縣竹崎鄉仁壽村10鄰27號, 23.5230108, 120.64875080000002",,
19,"嘉義縣竹崎鄉仁壽村2鄰30號, 23.5230108, 120.64875080000002",,
20,"嘉義縣竹崎鄉仁壽村8鄰20之3號, 23.5230108, 120.64875080000002",,
21,"嘉義縣竹崎鄉仁壽村7鄰1-1號, 23.5230108, 120.64875080000002",,
22,"嘉義縣竹崎鄉文峰村12鄰大坑73號, 23.5004285, 120.61711300000002",,
23,"嘉義縣竹崎鄉文峰村15鄰大坑21號, 23.5004285, 120.61711300000002",,
24,"嘉義縣竹崎鄉中和村12鄰164號, 23.4916291, 120.69475510000007",,
25,"嘉義縣竹崎鄉中和村19鄰13號, 23.4916291, 120.69475510000007",,
26,"嘉義縣竹崎鄉中和村21鄰5號, 23.4916291, 120.69475510000007",,
27,"嘉義縣竹崎鄉竹崎村中山路59之1號, 23.5229117, 120.55124669999998",,
28,"嘉義縣梅山鄉太和村2鄰蛤里味5-1號, 23.5383789, 120.72806300000002",,
29,"嘉義縣梅山鄉太和村社前湖6號, 23.556302, 120.72452399999997",,
30,"嘉義縣梅山鄉太和村3鄰18號, 23.5401234, 120.71775090000006",,
31,"嘉義縣梅山鄉瑞峰村2鄰外寮47之2號, 23.563102, 120.65903700000001",,
32,"嘉義縣梅山鄉瑞里村5鄰55號, 23.5394221, 120.67175500000008",,
33,"嘉義縣梅山鄉龍眼村龍眼林3之1號, 23.5823212, 120.63437099999999",,
34,"嘉義縣梅山鄉碧湖村6鄰堀尺嶺9之1號, 23.5675146, 120.62861859999998",,
35,"嘉義縣梅山鄉太興村4鄰青園5號, 23.5448595, 120.63437099999999",,
36,"嘉義縣梅山鄉太平村1鄰大坪43號, 23.5811656, 120.56209060000003",,
37,"嘉義縣梅山鄉梅北村中山路282號, 23.5852408, 120.55568500000004",,
38,"嘉義縣番路鄉大湖村大湖村火燒寮1-1號, 23.4744752, 120.62574229999996",,
39,"嘉義縣番路鄉大湖村大湖村下坪仔8號, 23.4744752, 120.62574229999996",,
40,"嘉義縣番路鄉公田村公田村8鄰濫田仔5號, 23.4480903, 120.64875080000002",,
41,"嘉義縣番路鄉公田村公田村6鄰大路仔32號, 23.4480903, 120.64875080000002",,
42,"嘉義縣番路鄉公田村公田村6鄰隙頂40號, 23.4480903, 120.64875080000002",,
43,"嘉義縣番路鄉公田村公田村2鄰龍頭16-10號, 23.4480903, 120.64875080000002",,
44,"嘉義縣番路鄉公田村公田村2鄰龍頭19-6號, 23.4480903, 120.64875080000002",,
45,"嘉義縣番路鄉公興村公興村2鄰龍美46-8號, 23.4209502, 120.62574229999996",,
46,"嘉義縣番路鄉公興村公興村4鄰中寮41號, 23.4209502, 120.62574229999996",,
47,"嘉義縣番路鄉公興村公興村7鄰腦寮19號, 23.4209502, 120.62574229999996",,
48,"嘉義縣大埔鄉大埔村大埔162-9號, 23.2987398, 120.59024640000007",,
49,"嘉義縣番路鄉草山村草山村4鄰半嶺9-5號, 23.3699026, 120.61423650000006",,
50,"嘉義縣番路鄉草山村草山村7鄰永興22號, 23.3699026, 120.61423650000006",,
51,"嘉義縣大埔鄉大埔村大埔53之2號, 23.2949615, 120.59316539999998",,
52,"嘉義縣番路鄉草山村草山村2鄰號, 23.3699026, 120.61423650000006",,
53,"嘉義縣番路鄉公興村公興村7鄰腦寮3號, 23.4209502, 120.62574229999996",,
54,"嘉義縣大埔鄉茄苳村8鄰坪林24號, 23.2480074, 120.60848320000002",,
55,"嘉義縣大埔鄉西興村3鄰菜瓜坪4之1號, 23.2449958, 120.57631760000004",,
56,"嘉義縣大埔鄉永樂村4鄰埔頂13-1號, 23.3221434, 120.5624474",,
57,"嘉義縣大埔鄉永樂村7鄰南寮11號, 23.3411559, 120.5573948",,
58,"嘉義縣阿里山鄉中正村52號, 23.5101932, 120.81830769999999",,
59,"嘉義縣阿里山鄉十字村52號, 23.2985026, 120.66548209999996",,
60,"嘉義縣阿里山鄉來吉村97號, 23.5423403, 120.73841600000003",,
61,"嘉義縣阿里山鄉豐山村47號, 23.5835797, 120.76372979999996",,
62,"嘉義縣阿里山鄉樂野村56號, 23.4570375, 120.7062535",,
63,"嘉義縣阿里山鄉達邦村101號, 23.4354677, 120.78096759999994",,
64,"嘉義縣阿里山鄉里佳村52號, 23.4056487, 120.72010980000005",,
65,"嘉義縣阿里山鄉山美村51號, 23.3844878, 120.66848359999994",,
66,"嘉義縣阿里山鄉新美村66號, 23.3380344, 120.68386280000004",,
67,"嘉義縣阿里山鄉茶山村74號, 23.2985026, 120.66548209999996",,
